"Date","Total Returns Index"
"16-Mar-2020","8321.03"
"17-Mar-2020","8344.61"
"18-Mar-2020","8017.81"
"19-Mar-2020","7967.31"
"20-Mar-2020","8322.12"
"23-Mar-2020","7704.36"
"24-Mar-2020","7918.47"
"25-Mar-2020","8019.64"
"26-Mar-2020","8114.84"
"27-Mar-2020","8160.39"
"30-Mar-2020","8259.75"
"31-Mar-2020","8595.74"
"01-Apr-2020","8416.29"
"03-Apr-2020","8817.41"
"07-Apr-2020","9731.62"
"08-Apr-2020","10075.8"
"09-Apr-2020","10540.86"
"13-Apr-2020","10832.97"
"15-Apr-2020","10826.35"
"16-Apr-2020","11018.55"
"17-Apr-2020","10968.82"
"20-Apr-2020","10958.58"
"21-Apr-2020","11236.97"
"22-Apr-2020","11231.4"
"23-Apr-2020","11245.66"
"24-Apr-2020","11400.82"
"27-Apr-2020","11500.94"
"28-Apr-2020","11242.44"
"29-Apr-2020","11241.5"
"30-Apr-2020","11171.66"
"04-May-2020","11216.56"
"05-May-2020","10997.25"
"06-May-2020","11051.91"
"07-May-2020","10957.26"
"08-May-2020","11191.08"
"11-May-2020","11147.94"
"12-May-2020","11075.25"
"13-May-2020","10956.79"
"14-May-2020","10986.08"
"15-May-2020","10891.25"
"18-May-2020","10890.81"
"19-May-2020","10881.19"
"20-May-2020","11327"
"21-May-2020","11403.32"
"22-May-2020","11499.27"
"26-May-2020","11358.95"
"27-May-2020","11335.24"
"28-May-2020","11336.21"
"29-May-2020","11700.45"
"01-Jun-2020","11740.6"
"02-Jun-2020","11778.3"
"03-Jun-2020","11814.75"
"04-Jun-2020","12070.88"
"05-Jun-2020","12074.98"
"08-Jun-2020","11904.67"
"09-Jun-2020","12123.8"
"10-Jun-2020","12156.37"
"11-Jun-2020","11897.86"
"12-Jun-2020","11957.01"
"15-Jun-2020","11964.48"
"16-Jun-2020","11889.47"
"17-Jun-2020","11950.28"
"18-Jun-2020","11948.04"
"19-Jun-2020","11980.17"
"22-Jun-2020","12239.15"
"23-Jun-2020","12409.79"
"24-Jun-2020","12109.94"
"25-Jun-2020","12208.97"
"26-Jun-2020","12142.74"
"29-Jun-2020","12140.4"
"30-Jun-2020","11959.83"
"01-Jul-2020","11837.32"
"02-Jul-2020","11910.13"
"03-Jul-2020","11933.78"
"06-Jul-2020","11859.33"
"07-Jul-2020","11831.47"
"08-Jul-2020","11915.94"
"09-Jul-2020","11962.71"
"10-Jul-2020","12064.16"
"13-Jul-2020","12119.69"
"14-Jul-2020","12177.78"
"15-Jul-2020","12244.57"
"16-Jul-2020","12450.29"
"17-Jul-2020","12558.04"
"20-Jul-2020","12357.13"
"21-Jul-2020","12176.29"
"22-Jul-2020","12201.98"
"23-Jul-2020","12378.18"
"24-Jul-2020","12277.24"
"27-Jul-2020","12066.26"
"28-Jul-2020","12145.4"
"29-Jul-2020","12520.89"
"30-Jul-2020","12910.48"
"31-Jul-2020","13369.61"
"03-Aug-2020","13351.87"
"04-Aug-2020","13578.09"
"05-Aug-2020","13514.28"
"06-Aug-2020","13682.1"
"07-Aug-2020","13597.39"
"10-Aug-2020","14327.91"
"11-Aug-2020","14124.94"
"12-Aug-2020","13906.56"
"13-Aug-2020","13771.81"
"14-Aug-2020","13966.76"
"17-Aug-2020","13912.68"
"18-Aug-2020","13896.29"
"19-Aug-2020","13848.88"
"20-Aug-2020","13852.53"
"21-Aug-2020","13943"
"24-Aug-2020","13891.82"
"25-Aug-2020","13805.07"
"26-Aug-2020","13786.53"
"27-Aug-2020","13910.79"
"28-Aug-2020","13952.59"
"31-Aug-2020","13300.64"
"01-Sep-2020","13612.4"
"02-Sep-2020","13690.11"
"03-Sep-2020","13819.28"
"04-Sep-2020","13542.69"
"07-Sep-2020","13528.81"
"08-Sep-2020","13316.72"
"09-Sep-2020","13569.93"
"10-Sep-2020","13569.09"
"11-Sep-2020","13580.93"
"14-Sep-2020","13484.93"
"15-Sep-2020","13745.62"
"16-Sep-2020","14031.39"
"17-Sep-2020","14088.32"
"18-Sep-2020","14790.52"
"21-Sep-2020","14164.64"
"22-Sep-2020","14257.44"
"23-Sep-2020","14028.25"
"24-Sep-2020","13606.5"
"25-Sep-2020","13920.21"
"28-Sep-2020","14161.13"
"29-Sep-2020","14056.56"
"30-Sep-2020","14132.61"
"01-Oct-2020","14192.67"
"05-Oct-2020","14434.08"
"06-Oct-2020","14416.62"
"07-Oct-2020","14303.23"
"08-Oct-2020","14656.41"
"09-Oct-2020","14458.07"
"12-Oct-2020","14590.83"
"13-Oct-2020","14329.81"
"14-Oct-2020","14233.91"
"15-Oct-2020","13970.59"
"16-Oct-2020","14182.11"
"19-Oct-2020","13945.11"
"20-Oct-2020","13978.4"
"21-Oct-2020","13980"
"22-Oct-2020","13859.47"
"23-Oct-2020","13808.71"
"26-Oct-2020","13606.01"
"27-Oct-2020","13818.87"
"28-Oct-2020","13595.14"
"29-Oct-2020","13476.14"
"30-Oct-2020","13497.48"
"02-Nov-2020","13415.27"
"03-Nov-2020","13638.2"
"04-Nov-2020","13935.52"
"05-Nov-2020","14051.12"
"06-Nov-2020","13953.15"
"09-Nov-2020","14014.39"
"10-Nov-2020","13407.63"
"11-Nov-2020","13889.5"
"12-Nov-2020","13926.08"
"13-Nov-2020","14076.93"
"14-Nov-2020","14132.15"
"17-Nov-2020","14034.09"
"18-Nov-2020","13940.65"
"19-Nov-2020","13885.04"
"20-Nov-2020","13837.18"
"23-Nov-2020","14091.46"
"24-Nov-2020","14263.87"
"25-Nov-2020","13969"
"26-Nov-2020","14168.37"
"27-Nov-2020","14213.87"
"01-Dec-2020","14461.21"
"02-Dec-2020","14513.35"
"03-Dec-2020","14655.47"
"04-Dec-2020","14831.54"
"07-Dec-2020","15074.45"
"08-Dec-2020","14896.01"
"09-Dec-2020","14939.94"
"10-Dec-2020","14935.98"
"11-Dec-2020","14846.44"
"14-Dec-2020","14959.15"
"15-Dec-2020","14926.4"
"16-Dec-2020","15064.31"
"17-Dec-2020","15130.21"
"18-Dec-2020","15322.28"
"21-Dec-2020","14740.97"
"22-Dec-2020","15068.49"
"23-Dec-2020","15311.34"
"24-Dec-2020","15498.26"
"28-Dec-2020","15456.73"
"29-Dec-2020","15420.18"
"30-Dec-2020","15396.17"
"31-Dec-2020","15506.6"
